ID,Creak Claim,Modified Claim,Answer,Answer original,Comments,,
C1,Peter Sellers spent his life as a single bachelor.,Naďa Hejná spent all her life as a single bachelor.,FALSE,FALSE,,,
C2,No voice actors sang in the Beauty and the Beast.,No voice actors or actresses sang in the Summer of Old Times.,FALSE,FALSE,,,
C3,Richard Branson became a Police officer that shot and killed a man.,Daniel Rapant became a police officer that shot and killed a man.,FALSE,FALSE,,,
C4,The first time gender equality was brought up was in 2010.,Zionism emerged before William Edward Collinson was born.,TRUE,FALSE,emerged instead of brought up?,agreed!,
C5,The Western Wall ceases to exist anymore.,Nelson Dock Retaining Wall no longer exists.,FALSE,FALSE,no longer exists?,,
C6,Ernst Haeckel publish books that focused on evolutionary biology.,Salvador Novo published books that focused on evolutionary biology.,FALSE,TRUE,,,
C7,One can watch Bugs Bunny on the television.,One can watch Pamiętnik Chrumasa on the television.,TRUE,TRUE,,,
C8,Some people study books about Stoicism.,Some people study books about Xuanxue.,TRUE,TRUE,,,
C9,Alfred Nobel took a career in acting.,Florencia Labat took a career in acting.,FALSE,FALSE,,,
C10,"Augusta, Georgia has many beaches to swim at.",Gurvansaikhan has many beaches to swim at.,FALSE,TRUE,,,
C11,Kia Motors ceases to exist as an entity.,Jordan Motor Car Company no longer exists.,TRUE,FALSE,no longer exists?,,
C12,Modern spaceflight started prior to World War I.,The Laotian Civil War ended before Ahn Jung-hwan's birth.,TRUE,FALSE,,,
C13,The Statue of Freedom and the Statue of Liberty are the same thing.,Vahdat hall and Roudaki hall are the same thing.,TRUE,FALSE,,,
C14,A boulevard can typically be found in any city or town.,A boulevard is likely to be found in Aruppukkottai.,TRUE,TRUE,,,
C15,Ronda Rousey has proved that girls are unable to participate in martial arts.,Sanaa Atabrour has proved that girls are unable to participate in martial arts.,FALSE,FALSE,,,
C16,Dmitry Medvedev plays hockey for the French national team.,Anita Reniers plays hockey for the French national team.,FALSE,FALSE,,,
C17,Pope Gregory VII released his best song in 2015.,Guido Tarlati released a best-selling song in 2015.,FALSE,FALSE,is best ambiguous?,a best-selling song? The guy isn't singer:),ahh haha trick question!
C18,Charles the Bald ruled over France and Italy during the 9th century.,Ya'qub ibn al-Layth al-Saffar ruled over Afghanistan during a part of the 9th century.,TRUE,TRUE,,,
C19,Dwyane Wade won 3 championships with the Miami Heat.,Carmelo Buonocore spent most of his career in Milan.,TRUE,TRUE,,,
C20,Pablo Neruda wrote a great number of exceptional poems.,Renzo Burini wrote a great number of exceptional poems.,FALSE,TRUE,,,
C21,The cartoon of Bugs Bunny was influenced by the Rick and Morty cartoon.,Giovanni Battista Casti's works may be influenced by Maria Grazia Lenisa's poems.,FALSE,FALSE,,,
C22,The couple went to the movie theater to watch Prison Break.,It is likely for people to to watch Chez le prof. Pierre in a movie theater.,FALSE,FALSE,the couple? is this any generic couple?,is the new one better?,ya much clearer in my opinion
C23,Marshall McLuhan practice Islam fervently and has partaken in various jihads.,William Jaya Kusli practiced Islam fervently and has partaken in various jihads.,FALSE,FALSE,,,
C24,Robert De Niro has a lot of popular songs he sings.,Volker Zotz has a lot of popular songs he sings.,FALSE,FALSE,,,
C25,Dwyane Wade played basketball during his career.,Alfons T'Kint played football during his career.,TRUE,TRUE,,,
C26,Nights begin to grow longer during the Autumn.,Nights grow longer during the season in which Nika Shakarami was born.,TRUE,TRUE,,,
C27,Nancy Pelosi represents her district in the U.S. Congress.,Pavlo Khazan is a member of the parliament of his homeland country.,TRUE,TRUE,,,
C28,Some women experience menopause when they age.,Benedetta Maroni is likely to have experienced menopause by the year 2060.,TRUE,TRUE,,,
C29,Modern vehicles use friction to Brake or slow down to come to a stop.,IKCO Samand uses friction to brake or slow down to come to a stop.,TRUE,TRUE,,,
C30,Alexander Graham Bell descended from a Scottish physicist.,Tibor Bártfay descended from a Scottish physicist.,FALSE,FALSE,,,
C31,Wilhelm Wundt studied under Sigmund Freud.,It is very likely that Arnold Lazarus was aware of who Sigmund Freud was.,TRUE,FALSE,,,
C32,Lake Tanganyika ceases to exist after drought.,Lake Urmia ceases to exist because of drought.,FALSE,FALSE,,,
C33,Florence Nightingale acted in many movies and won an Oscar.,Nancy Chodorow acted in many movies and won an Oscar.,FALSE,FALSE,,,
C34,Satanism and Christianity go hand in hand.,The political ideologies of the Fuerza Nacional and the Tudeh Party of Iran go hand in hand.,FALSE,FALSE,,,
C35,Boris Yeltsin lead the British to victory over the French in a war.,Michael Seymour could have taken part in the 1947 Opium war.,FALSE,FALSE,,,
C36,Alexander Graham Bell will contest in the next presidential elections.,Martin Slobodník is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,FALSE,The guy's dead.,,
C37,Margaret Thatcher leads the Government of the United Kingdom.,Nodar Khashba and Margaret Thatcher held the same position but in different times and locations.,TRUE,FALSE,,,
C38,George S. Patton illustrated children's books for a living.,Martina Di Bari mostly uses her foot when doing her job.,TRUE,FALSE,,,
C39,Only on Wednesday can people go to church.,Elizabeth Kaeton typically had to go to work on Sundays.,TRUE,FALSE,She was a priest.,,
C40,The history of mathematics spans many centuries.,Maria Adeodata Pisani's life spanned two centuries.,FALSE,TRUE,,,
C41,Victoria Beckham married David Beckham and are still together.,Francesco Totti and Ilary Blasi are experiencing a successful marriage.,FALSE,TRUE,,,
C42,LeBron James is the star of the US Open.,Emmanuel Paman has likely participated in the Río de la Plata Challenger.,FALSE,FALSE,,,
C43,One can see both the Statue of Freedom and the United States Capitol at the same time.,One can see the Alaviyan Dome and the Dome of Soltaniyeh at the same time.,FALSE,TRUE,,,
C44,Nicholas II of Russia recently lost re-election to Vladimir Putin.,Iryna Antypenko may be the next president of Sergey Ryazansky's homeland.,FALSE,FALSE,,,
C45,John Dryden died with no children.,Rahi Mo'ayyeri died with no children.,TRUE,FALSE,,,
C46,Dan Brown criticizes the Catholic Church.,Park Hon-young didn't care about the Catholic Commandments.,TRUE,TRUE,,,
C47,People need a dice and a deck of cards to play Texas hold 'em.,The only thing required to play Ahmed-Hasan Khokhar's favourite sport is a raquet.,FALSE,FALSE,,,
C48,Winning the US Open is one of the greatest achievements and also one of the major titles in the tennis world.,Winning the US Open was likely one of the greatest professional achievments that Ankita Bhambri could dream of.,TRUE,TRUE,,,
C49,Benito Mussolini supported democracy for countries.,Hussein Ali Shido's party supported anti-capitalism.,FALSE,FALSE,,,
C50,Robert Fripp died due to the pandemic last year.,Pindale Min's death was related to a pandemic disease.,FALSE,FALSE,,,
C51,People go to Dave Grohl for cooking advice.,It is logical to ask for cooking advice from María Mestayer.,TRUE,FALSE,,,
C52,Koreans split into East and West Korea.,Oh Seong-ok's country is split to two East and West sovereign states.,FALSE,FALSE,,,
C53,Laurence Fishburne ceases to act in movies.,Yaroslav Fedoryshyn ceases to act in movies.,TRUE,FALSE,,,
C54,The civil engineer designed the new suspension bridge in the city.,Władysław Folkierski had likely learned the knowledge required to design suspension bridges.,TRUE,TRUE,,,
C55,Quantum mechanics can fix a lot of cars.,Konrad Banaszek made a living by fixing a lot of cars.,FALSE,FALSE,,,
C56,Slayer has performed in various concerts around the world.,Nancy Makri performs in various concerts around the world.,FALSE,TRUE,,,
C57,"As a lawyer, John C. Calhoun fought for African American rights.","Peter Brimelow would support the ""black lives matter"".",FALSE,FALSE,,,
C58,Richard Linklater has won awards for his work as a director.,Marc de Cacqueray-Valménier has won awards for his work as a director.,FALSE,TRUE,,,
C59,Florence Nightingale treated people in England.,Victor Mermelstein treated people in Israel.,TRUE,TRUE,,,
C60,the President of India lives in india.,Javier Milei is likely to live in Argentina during 2024.,TRUE,TRUE,,,
C61,The civil engineer designed the road system in the city.,Árpád Klatsmányi was likely to be aware of the second law of thermodynamics.,TRUE,TRUE,,,
C62,The Russian Revolution inspired the American Revolution,Persian Constitutional Revolution inspired the Shinpūren Rebellion.,FALSE,FALSE,,,
C63,Richard Linklater directed some popular movies.,Elvíra Němečková had to use her body to perform her job.,TRUE,TRUE,,,
C64,All nuns act in holy ways.,Léocadie Gascoin considered her job as being holy.,TRUE,TRUE,,,
C65,The Statue of Freedom stands taller than the Statue of Liberty.,The Dome of Soltaniyeh stands taller than the Alaviyan Dome.,TRUE,FALSE,,,
C66,Professional boxing often involves very violent fighting.,Vladimer Chanturia's occupation involves violent fighting.,TRUE,TRUE,,,
C67,John Dewey famously did not believe in God.,Lorca Spiti is likely to not believe in god.,FALSE,TRUE,,,
C68,The Druze serve as the main Christian group in Lebanon.,Sara Al-Hani is likely to believe in Trinity.,FALSE,FALSE,,,
C69,Brakes make the car go faster.,Brakes of the HSV Senator make it go faster.,FALSE,FALSE,,,
C70,Zack Ryder now wrestles for WWE.,Tawfiq-e-Elahi Chowdhury needs significant physical abilities to be able to do his job.,FALSE,FALSE,,,
C71,"You can celebrate lent, the Atheist's holiday.",Mina Ahadi is likely to celebrate Lent.,FALSE,FALSE,,,
C72,Menopause happens to women at an older age.,Jazmine Rowe is unlikely to be experiencing menopause in 2023.,TRUE,TRUE,,,
C73,Women use their scrotum to create babies.,Natalie Kratenova is likely to have a uterus.,TRUE,FALSE,,,
C74,America was a member of the Axis powers.,María Subíes Forcada's home country was among the allied powers.,FALSE,FALSE,,,
C75,Good Friday plays an important role in religious festivities in Mexico.,Marisa Mazari Hiriart is likely to celebrate the Good Friday.,TRUE,TRUE,,,
C76,Susan Sarandon votes like a conservative Republican.,Sahra Wagenknecht often votes like a conservative Republican.,FALSE,FALSE,,,
C77,Hector Berlioz made music for a living.,Jazmine Rowe made music for a living.,FALSE,TRUE,,,
C78,"Someone living in Massachusetts would most likely travel by plane to reach Portsmouth, New Hampshire.",Someone living in Gujan would most likely travel by plane to reach Aousserd.,TRUE,FALSE,,,
C79,Menachem Begin represented a country based on Christianity.,Avraham Betzalel is from a primarily Christian country.,FALSE,FALSE,primarily Christian country?,,
C80,"People either know Tim McGraw by having listened to his music, watching him on TV, or familiarity with his wife, Faith Hill.",People only know Belén Rodríguez by watching her movies or seeing her as a model.,FALSE,TRUE,,,
C81,Bruce Lee used to teach martial art. He opened a martial arts school.,It makes sense for Loik Laloum to open a martial arts school to earn a living.,TRUE,TRUE,,,
C82,Michelle Obama birthed sons as part of the family of Barack Obama.,Lee Hui-ho birthed a son as part of the family of Kim Dae-jung.,TRUE,FALSE,,,
C83,The Turkish invasion of Cyprus involved the use of nuclear weapons.,Masanobu Tsuji took place in the only war in which nuclear weapons were used.,TRUE,FALSE,,,
C84,"Robert De Niro loves his country, Germany.",Eveline Poncio loves his country Portugal.,FALSE,FALSE,,,
C85,Some females can have a scrotum if they are transgender.,Carla Novaes is a female but she once had a scrotum in her life.,TRUE,TRUE,"she is a trans woman. 
""once had a scrotum""",,
C86,Many people eat dosa in India.,People from Ankita Bhambri's country typicaly love dosa.,TRUE,TRUE,,,
C87,Victoria Beckham married a soccer player.,Bogna Sobiech married an athlete who does a different sport from her.,TRUE,TRUE,own sport makes sense but might be a little confusing for the LLM (idk) -> different sport?,,
C88,Susan Sarandon performed in front of the camera.,Diana Aster typically performs in front of the camera.,TRUE,TRUE,,,
C89,Nuns get paid millions of dollars for their work.,Placida Laubhardt got paid millions of dollars for her work.,FALSE,FALSE,,,
C90,Harry Potter can teach classes on how to fly on a broomstick.,Bogna Sobiech can teach classes on how to play handball.,TRUE,TRUE,,,
C91,"Dance remains a critical component of theatrical productions, especially musicals.",Many actors in Belle of Old Mexico sing and dance.,TRUE,TRUE,,,
C92,The paternal side of the family of Barack Obama originates from Africa.,The paternal side of the family of Italia Walter's children originates from Germany.,TRUE,TRUE,,,
C93,You can get motion sickness on a boat,You can get motion sickness on the HMS Abercrombie.,TRUE,TRUE,,,
C94,The attack on Pearl Harbor took place in 1941.,The attack on Pearl Harbor took place before the Shinpūren Rebellion.,FALSE,TRUE,,,
C95,Geoffrey Chaucer typed his stories on a computer.,Mohammad Vali Khan Tonekaboni typed his diaries in his personal computer.,FALSE,FALSE,,,
C96,Petro Poroshenko ruled as President of Ukraine.,Javier Milei and Najib Mikati hold the same position but in different countries.,FALSE,TRUE,,,
C97,Humans can survive without any sleep.,Noelia Vargas must sleep to survive.,TRUE,FALSE,,,
C98,Badminton requires use of a racket to play.,Elisa Skrotzki requires a racket to do her job.,FALSE,TRUE,,,
C99,A Jury may decide whether a criminal is guilty or innocent.,William Francis Rhea used to decide whether a criminal is guilty or innocent.,TRUE,TRUE,,,
C100,Eddie Murphy makes entire audiences laugh out loud.,Kostas Tsakonas typically tries to make the audience laugh out loud.,TRUE,TRUE,,,
C101,"When people address a Judge, they say, Your Honor.","When people wanted to address Ulrik Anton Motzfeldt in a court, they said, Your Honor.",TRUE,TRUE,,,
C102,The Royal Mail began in the 18th century.,Jan-Carlo Simić was born in the current century.,TRUE,FALSE,,,
C103,Alstom good engineering company gives job for every person.,It is very likely for Industri Kereta Api to have hired several engineers.,TRUE,FALSE,,,
C104,Elon Musk has a Twitter account he posts to.,Anthony Dimond expressed his opinions on his Twitter account.,FALSE,TRUE,,,
C105,Homer wrote many different great works of his time.,Hazin Lahiji acted in several well-known dramas.,FALSE,TRUE,,,
C106,Lewis Carroll still performs on stage occasionally.,Abi Mansur ibn Husayn Abu Said still performs on stage occasionally.,FALSE,FALSE,,,
C107,The vietnam war took place in the 1990s.,The Laotian Civil War took place in the last decade of the 20th century.,FALSE,FALSE,,,
C108,Argentina and the United Kingdom faught each other during the Falklands War.,Silvia Arazi and Ivan Toney's countries fought each other during the Falklands war.,TRUE,TRUE,,,
C109,Zorro kills innocent people for fun.,Lito Bayardo kills innocent people for fun.,FALSE,FALSE,,,
C110,Jane Austen attends Harvard University and studies laws.,Max Daireaux had to study law in school to be allowed to obtain his occupation.,FALSE,FALSE,,,
C111,People who write Fantasy books use fictitious plots.,Maria Turtschaninoff's works use fictitious plots.,TRUE,TRUE,"repetition of works - remove ""in her works""?",,
C112,An Electrician replaces the electrical wiring in your house.,It was very likely for Potenciano Parin Columna to know how to replace the electrical wiring in houses.,TRUE,TRUE,,,
C113,Robert McNamara played a large roll in escalating U.S. involvement in Vietnam.,Stephanie Soares must have played a large role in escalating U.S. involvement in Vietnam.,FALSE,TRUE,,,
C114,John Philip Sousa never learned to play an instrument.,Genc Tukiçi never learned to play an instrument.,FALSE,FALSE,,,
C115,The Presidency of Richard Nixon began in 1969.,Jamshid Amouzegar's life began in the third decade of the 20th century.,TRUE,TRUE,,,
C116,Lauren Bacall suffered from being unattractive and thus did not do well socially.,Belén Rodríguez was unsuccessful in finding a partner or husband because of suffering from being unattractive.,FALSE,FALSE,,,
C117,Aretha Franklin received many accolades for her music.,Maren Vehring's fans love her because of her special singing skills.,FALSE,TRUE,,,
C118,Catholic Monarchs practice the Jewish religion.,Juan García de Zéspedes goes to synagogue to pray.,FALSE,FALSE,,,
C119,Roberta Metsola is the President of the European Parliament.,Rolando Domingo Sartorio may become the president of the European parliament.,FALSE,FALSE,,,
C120,Lil Wayne produces songs that are great for dancing to.,Narendra Hirwani produces works that are great for dancing to.,FALSE,TRUE,,,
C121,People that work for the Honda company need to know how to prepare foods.,Casa de Chá da Boa Nova needs to hire people that know how to prepare foods.,TRUE,FALSE,,,
C122,Mike Tyson got a Nobel Prize for his work as a boxer.,People with Pantea Beigi's profession can hope to win a Nobel prize some day.,TRUE,FALSE,,,
C123,American Aziz Ansari swims in Olympics.,Toku Kanaseki is likely to participate in Olympics some day.,FALSE,FALSE,,,
C124,Harvey Milk died peacefully in his sleep.,Anayama Nobutada died peacefully due to natural causes.,FALSE,FALSE,,,
C125,Monks are elite athletes that practice sports all day long.,Chökyi Nyima Rinpoche has to practice sports all day long.,FALSE,FALSE,,,
C126,Part of a Judge's job is to interpret the law impartially.,Part of Ukitsu Tanaka's job is to interpret the law impartially.,TRUE,TRUE,,,
C127,Fidel Castro offered support for the campaign of Augusto Pinochet.,Vasil Glavinov was likely to support Salvador Allende over Augusto Pinochet.,TRUE,FALSE,,,
C128,Saif Ali Khan acts and produces movies in Hindi.,Alexandra Pfemfert is likely to act and produce movies in Hindi.,FALSE,TRUE,,,
C129,Willard Van Orman Quine wrote multiple books.,Aleksandar Gruev wrote multiple books.,FALSE,TRUE,,,
C130,Laughter can often be heard after a scary story is told.,"Laughter can often be heard after people read ""The Inhabitant of the Lake and Less Welcome Tenants"".",FALSE,FALSE,,,
C131,Christopher Lee portrays many different characters.,Chiara Guerra earns a living by portraying different characters in front of a camera.,TRUE,TRUE,,,
C132,Watchmakers make and fix watches for a living.,Gustav Adolf Boley made and fixed watches for a living.,TRUE,TRUE,,,
C133,Some South Africans speak the Xhosa language.,Some people in Bongokuhle Hlongwane's country speak the Xhosa language.,TRUE,TRUE,,,
C134,Hamas has dedicated itself to proving the holocaust happened.,Abu Asif Barghouti was in favour of people who support the Israeli government.,FALSE,FALSE,,,
C135,The Petroleum industry includes fields such as space travel and cow farming.,RosUkrEnergo is active in a field that is not relevant to cow farming and milk production.,TRUE,FALSE,,,
C136,Muslims pracice the teachings of Buddha.,Ernest Erbstein was very likely to carry a Faravahar symbol with himself.,FALSE,FALSE,,,
C137,A Sniper uses a violin in his craft.,Vanda Biněvská was very likely to use a violin in his craft.,FALSE,FALSE,,,
C138,China Central Television broadcasts American propaganda in China.,The Voice of Jingjinji is very likely to broadcast American propaganda.,FALSE,FALSE,,,
C139,People who practice Interior design have an eye for detail.,Elena Karaman Karić must have an eye for detail to be successful in her job.,TRUE,TRUE,,,
C140,Hamas has origins that can be traced to the Middle East.,Jesús Ricardo Urteaga Repullés was member of a group that fought against the integrity of Spain.,TRUE,TRUE,,,
C141,Harper Lee did not know how to write.,Mamlakat Nakhangova knew how to write.,TRUE,FALSE,,,
C142,"Doner kebab belongs to the Turkish cuisine, made on a vertical spit from lamb meat.",Melahat Pars is very likely to be familiar with Doner kebab.,TRUE,TRUE,,,
C143,Ballet strengthens the lower body and specially the toes.,Galiya Izmaylova's job required her to strengthen her lower body and especially her toes.,TRUE,TRUE,,,
C144,Sun Tzu founded the Caprice Sun drink company.,Jan Jonker Afrikaner was likely a customer of the Namibia Breweries Limited.,FALSE,FALSE,,,
C145,The Chinese Communist Party proved victorious in the Chinese Civil War and established the People's Republic of China.,Gao Jingting preferred Mao Zedong over Chiang Kai-shek.,TRUE,TRUE,,,
C146,Breast cancer only occurs in women and not in men.,Dimitris Panayiotou can rest assured he will not come down with breast cancer thanks to his gender.,FALSE,FALSE,,,
C147,Breast cancer only occurs in women and not in men.,Georgios Papadopoulos can rest assured he will not come down with uretrus cancer thanks to his gender.,TRUE,FALSE,,,
C148,"Marxists believe in Marxism, the political philosophy about workers owning the means of production.",Marta Harnecker supported the idea of workers owning the means of production.,TRUE,TRUE,,,
C149,Jesse Ventura has worked in both entertainment and government.,Christian Kmiotek has worked in both entertainment and education.,TRUE,TRUE,,,
C150,One who only understands Spanish can read Chinese characters and understand them.,Takeuchi Shigeyo and Ida Duretto could have communicated directly without the need for translation.,TRUE,FALSE,,,